feature_set,model,fpr,tpr,auc,n
DSP,Logistic,0.04525252525252525,0.3385933273219116,0.6278711369784409,6911
DSP,Logistic,0.04606060606060606,0.3385933273219116,0.6278711369784409,6911
DSP,Logistic,0.04606060606060606,0.33994589720468893,0.6278711369784409,6911
DSP,Logistic,0.046464646464646465,0.33994589720468893,0.6278711369784409,6911
DSP,Logistic,0.046464646464646465,0.3412984670874662,0.6278711369784409,6911
DSP,Logistic,0.04686868686868687,0.3412984670874662,0.6278711369784409,6911
DSP,Logistic,0.04686868686868687,0.3419747520288548,0.6278711369784409,6911
DSP,Logistic,0.04727272727272727,0.3419747520288548,0.6278711369784409,6911
DSP,Logistic,0.04727272727272727,0.3431018935978359,0.6278711369784409,6911
DSP,Logistic,0.04767676767676768,0.3431018935978359,0.6278711369784409,6911
DSP,Logistic,0.04767676767676768,0.3433273219116321,0.6278711369784409,6911
DSP,Logistic,0.04808080808080808,0.3433273219116321,0.6278711369784409,6911
DSP,Logistic,0.04808080808080808,0.34377817853922454,0.6278711369784409,6911
DSP,Logistic,0.048484848484848485,0.34377817853922454,0.6278711369784409,6911
DSP,Logistic,0.048484848484848485,0.3458070333633904,0.6278711369784409,6911
DSP,Logistic,0.04888888888888889,0.3458070333633904,0.6278711369784409,6911
DSP,Logistic,0.04888888888888889,0.3473850315599639,0.6278711369784409,6911
DSP,Logistic,0.0496969696969697,0.3473850315599639,0.6278711369784409,6911
DSP,Logistic,0.0496969696969697,0.3489630297565374,0.6278711369784409,6911
DSP,Logistic,0.050101010101010104,0.3489630297565374,0.6278711369784409,6911
DSP,Logistic,0.050101010101010104,0.34986474301172227,0.6278711369784409,6911
DSP,Logistic,0.050505050505050504,0.34986474301172227,0.6278711369784409,6911
DSP,Logistic,0.050505050505050504,0.35099188458070335,0.6278711369784409,6911
DSP,Logistic,0.05090909090909091,0.35099188458070335,0.6278711369784409,6911
DSP,Logistic,0.05090909090909091,0.35121731289449953,0.6278711369784409,6911
DSP,Logistic,0.05131313131313131,0.35121731289449953,0.6278711369784409,6911
DSP,Logistic,0.05131313131313131,0.3518935978358882,0.6278711369784409,6911
DSP,Logistic,0.05171717171717172,0.3518935978358882,0.6278711369784409,6911
